Bed code,Set date,Station number,Haul number,Samplers initials,SizeClass,Species code,Basket ID,Total number,Total weight (kg),Species name
EK1,2016-4-19,F09,27,JM,1,74120,,1,0.250,Weathervane scallop
EK1,2016-4-19,F09,27,JM,,99997,,,17.500,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,10.180,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,14.840,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,18.560,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,16.480,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,14.280,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,16.360,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,24.020,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,15.780,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,99997,,,17.760,Unsorted catch and debris
EK1,2016-4-19,F09,27,JM,,68560,SF,2,0.005,Tanner crab
EK1,2016-4-19,F09,27,JM,,23010,,5,0.040,Eulachon
EK1,2016-4-19,F09,27,JM,,10200,,5,0.020,Rex sole
EK1,2016-4-19,E10,28,JM,1,74120,G,7,1.880,Weathervane scallop
EK1,2016-4-19,E10,28,JM,3,74120,,,0.060,Empty shells
EK1,2016-4-19,E10,28,JM,,99997,,,19.320,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,20.160,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,19.900,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,13.240,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,22.740,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,9.000,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,12.120,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,13.200,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,22.280,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,11.320,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,14.440,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,14.900,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,99997,,,28.920,Unsorted catch and debris
EK1,2016-4-19,E10,28,JM,,68560,SF,1,0.004,Tanner crab
EK1,2016-4-19,E10,28,JM,,23010,,2,0.020,Eulachon
EK1,2016-4-19,E10,28,JM,,10200,,2,0.040,Rex sole
EK1,2016-4-19,H13,29,JM,1,74120,,34,15.700,Weathervane scallop
EK1,2016-4-19,H13,29,JM,1,74120,,1,0.280,Weathervane scallop
EK1,2016-4-19,H13,29,JM,3,74120,,,2.540,Empty shells
EK1,2016-4-19,H13,29,JM,,99997,,,29.360,Unsorted catch and debris
EK1,2016-4-19,H13,29,JM,,80810,,1,0.390,Leafy flat sea star
EK1,2016-4-19,H13,29,JM,,10180,,1,0.100,Dover sole
EK1,2016-4-19,H13,29,JM,,99997,,,16.240,Unsorted catch and debris
EK1,2016-4-19,H13,29,JM,,99997,,,19.240,Unsorted catch and debris
EK1,2016-4-19,H13,29,JM,,99997,,,12.460,Unsorted catch and debris
EK1,2016-4-19,H13,29,JM,,99997,,,12.900,Unsorted catch and debris
EK1,2016-4-20,I09,30,QTS,1,74120,T,8,2.460,Weathervane scallop
EK1,2016-4-20,I09,30,QTS,1,74120,,1,0.430,Weathervane scallop
EK1,2016-4-20,I09,30,QTS,,99997,,,19.160,Unsorted catch and debris
EK1,2016-4-20,I09,30,QTS,,68560,SF,1,0.010,Tanner crab
EK1,2016-4-20,I09,30,QTS,,80810,,,1.820,Leafy flat sea star
EK1,2016-4-20,I09,30,QTS,,10130,,,0.010,Flathead sole
EK1,2016-4-20,I09,30,QTS,3,74120,,,1.800,Empty shells
EK1,2016-4-20,I09,30,QTS,,99997,,,20.920,Unsorted catch and debris
EK1,2016-4-20,I09,30,QTS,,99997,,,20.220,Unsorted catch and debris
EK1,2016-4-20,H10,31,QTS,1,74120,,2,0.440,Weathervane scallop
EK1,2016-4-20,H10,31,QTS,3,74120,,,1.040,Empty shells
EK1,2016-4-20,H10,31,QTS,,99997,,,11.060,Unsorted catch and debris
EK1,2016-4-20,H10,31,QTS,,68560,SF,4,0.008,Tanner crab
EK1,2016-4-20,H10,31,QTS,,435,,1,0.360,Bering skate
EK1,2016-4-20,H10,31,QTS,,10180,,1,0.010,Dover sole
EK1,2016-4-20,H10,31,QTS,,99997,,,10.200,Unsorted catch and debris
EK1,2016-4-20,H10,31,QTS,,99997,,,14.080,Unsorted catch and debris
EK1,2016-4-20,H10,31,QTS,,99997,,,4.660,Unsorted catch and debris
EK1,2016-4-20,G12,32,QTS,1,74120,O,6,1.960,Weathervane scallop
EK1,2016-4-20,G12,32,QTS,3,74120,,,1.280,Empty shells
EK1,2016-4-20,G12,32,QTS,,99997,,,18.380,Unsorted catch and debris
EK1,2016-4-20,G12,32,QTS,,99997,,,23.300,Unsorted catch and debris
EK1,2016-4-20,G12,32,QTS,,99997,,,10.020,Unsorted catch and debris
EK1,2016-4-20,G12,32,QTS,,99997,,,9.900,Unsorted catch and debris
EK1,2016-4-20,G12,32,QTS,,80160,,1,0.920,Sunflower sea star
EK1,2016-4-20,G12,32,QTS,,68560,SF,2,0.005,Tanner crab
EK1,2016-4-20,G12,32,QTS,,10110,,1,0.005,Arrowtooth flounder
EK1,2016-4-20,G12,32,QTS,,10200,,3,0.010,Rex sole
EK1,2016-4-20,G12,32,QTS,,66031,,1,0.003,Pink shrimp
EK1,2016-4-20,F12,33,QTS,1,74120,,58,14.120,Weathervane scallop
EK1,2016-4-20,F12,33,QTS,3,74120,,,0.820,Empty shells
EK1,2016-4-20,F12,33,QTS,,99997,,,16.400,Unsorted catch and debris
EK1,2016-4-20,F12,33,QTS,,99997,,,17.660,Unsorted catch and debris
EK1,2016-4-20,F12,33,QTS,,99997,,,11.800,Unsorted catch and debris
EK1,2016-4-20,F12,33,QTS,,99997,,,10.560,Unsorted catch and debris
EK1,2016-4-20,F12,33,QTS,,99997,,,16.160,Unsorted catch and debris
EK1,2016-4-20,F12,33,QTS,,99997,,,18.580,Unsorted catch and debris
EK1,2016-4-20,F12,33,QTS,,68560,SF,2,0.008,Tanner crab
EK1,2016-4-20,F12,33,QTS,,80810,,,1.720,Leafy flat sea star
EK1,2016-4-20,F12,33,QTS,,10130,,2,0.450,Flathead sole
EK1,2016-4-20,F12,33,QTS,,10180,,1,0.280,Dover sole
EK1,2016-4-20,F12,33,QTS,,10170,,1,0.350,English sole
EK1,2016-4-20,F12,33,QTS,,10200,,1,0.180,Rex sole
EK1,2016-4-20,E13,34,QTS,1,74120,A,70,19.140,Weathervane scallop
EK1,2016-4-20,E13,34,QTS,1,74120,,6,1.400,Weathervane scallop
EK1,2016-4-20,E13,34,QTS,1,74120,,1,0.300,Weathervane scallop
EK1,2016-4-20,E13,34,QTS,3,74120,,,5.160,Empty shells
EK1,2016-4-20,E13,34,QTS,,99997,,,22.420,Unsorted catch and debris
EK1,2016-4-20,E13,34,QTS,,99997,,,27.500,Unsorted catch and debris
EK1,2016-4-20,E13,34,QTS,,99997,,,19.300,Unsorted catch and debris
EK1,2016-4-20,E13,34,QTS,,99997,,,35.240,Unsorted catch and debris
EK1,2016-4-20,E13,34,QTS,,99997,,,30.500,Unsorted catch and debris
EK1,2016-4-20,E13,34,QTS,,99997,,,8.000,Unsorted catch and debris
EK1,2016-4-20,E13,34,QTS,,68560,SF,1,0.003,Tanner crab
EK1,2016-4-20,E13,34,QTS,,80810,,,0.100,Leafy flat sea star
EK1,2016-4-20,E13,34,QTS,,10200,,2,0.850,Rex sole
EK1,2016-4-20,E13,34,QTS,,10170,,4,0.710,English sole
EK1,2016-4-20,E13,34,QTS,,23010,,1,0.010,Eulachon
EK1,2016-4-20,E16,35,QTS,1,74120,,3,1.020,Weathervane scallop
EK1,2016-4-20,E16,35,QTS,3,74120,,,1.350,Empty shells
EK1,2016-4-20,E16,35,QTS,,99997,,,18.420,Unsorted catch and debris
EK1,2016-4-20,E16,35,QTS,,99997,,,17.660,Unsorted catch and debris
EK1,2016-4-20,E16,35,QTS,,99997,,,9.620,Unsorted catch and debris
EK1,2016-4-20,E16,35,QTS,,99997,,,20.320,Unsorted catch and debris
EK1,2016-4-20,E16,35,QTS,,99997,,,8.560,Unsorted catch and debris
EK1,2016-4-20,E16,35,QTS,,99997,,,16.440,Unsorted catch and debris
EK1,2016-4-20,E16,35,QTS,,99997,,,24.500,Unsorted catch and debris
EK1,2016-4-20,E16,35,QTS,,68560,SF,1,0.005,Tanner crab
EK1,2016-4-20,E16,35,QTS,,80810,,,1.090,Leafy flat sea star
EK1,2016-4-20,E16,35,QTS,,10200,,3,0.050,Rex sole
EK1,2016-4-20,E16,35,QTS,,10130,,1,0.010,Flathead sole
EK1,2016-4-20,E16,35,QTS,,23010,,1,0.010,Eulachon
EK1,2016-4-20,F18,36,JM,2,74120,BB,1,0.010,Empty shells
EK1,2016-4-20,F18,36,JM,1,74120,,47,14.240,Weathervane scallop
EK1,2016-4-20,F18,36,JM,3,74120,,,0.320,Empty shells
EK1,2016-4-20,F18,36,JM,,99997,,,21.560,Unsorted catch and debris
EK1,2016-4-20,F18,36,JM,,99997,,,12.400,Unsorted catch and debris
EK1,2016-4-20,F18,36,JM,,99997,,,10.320,Unsorted catch and debris
EK1,2016-4-20,F18,36,JM,,99997,,,11.480,Unsorted catch and debris
EK1,2016-4-20,F18,36,JM,,99997,,,15.860,Unsorted catch and debris
EK1,2016-4-20,F18,36,JM,,99997,,,27.610,Unsorted catch and debris
EK1,2016-4-20,F18,36,JM,,99997,,,37.820,Unsorted catch and debris
EK1,2016-4-20,F18,36,JM,,68560,SF,1,0.010,Tanner crab
EK1,2016-4-20,G18,37,JM,1,74120,,15,4.600,Weathervane scallop
EK1,2016-4-20,G18,37,JM,3,74120,,2,0.240,Clapper
EK1,2016-4-20,G18,37,JM,3,74120,,,0.580,Empty shells
